fact_id,date_key,hs_code,country_key,trade_flow_key,is_total,trade_value_usd_million,observation_status,reported_quantity_unit,source_report_date,source_file
24338,202211,71039120,SRI LANKA DSR,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24339,202211,71039120,SWEDEN,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24340,202211,71039120,SWITZERLAND,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24341,202211,71039120,TAIWAN,export,0,0.01,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24342,202211,71039120,THAILAND,export,0,0.11,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24343,202211,71039120,TURKEY,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24344,202211,71039120,U ARAB EMTS,export,0,0.05,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24345,202211,71039120,U K,export,0,0.02,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24346,202211,71039120,U S A,export,0,0.16,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24347,202211,71039120,UKRAINE,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24348,202211,71039120,URUGUAY,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24349,202211,71039120,VIETNAM SOC REP,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24350,202211,71039120,TOTAL,export,1,1.28,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24351,202211,71039130,ARMENIA,export,0,0.02,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039130/71039130_2022_11.html
24352,202211,71039130,AUSTRALIA,export,0,0.02,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039130/71039130_2022_11.html
24353,202211,71039130,AUSTRIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039130/71039130_2022_11.html
24354,202211,71039130,BAHARAIN IS,export,0,0.33,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039130/71039130_2022_11.html
24355,202211,71039130,BELGIUM,export,0,0.16,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039130/71039130_2022_11.html
24356,202211,71039130,BERMUDA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039130/71039130_2022_11.html
